,cellID,cellType,sampleID
0,human1_lib1.final_cell_0001,acinar,indiv1
1,human1_lib1.final_cell_0002,acinar,indiv1
2,human1_lib1.final_cell_0003,acinar,indiv1
3,human1_lib1.final_cell_0004,acinar,indiv1
4,human1_lib1.final_cell_0005,acinar,indiv1
5,human1_lib1.final_cell_0006,acinar,indiv1
7,human1_lib1.final_cell_0008,acinar,indiv1
8,human1_lib1.final_cell_0009,acinar,indiv1
9,human1_lib1.final_cell_0010,acinar,indiv1
10,human1_lib1.final_cell_0011,acinar,indiv1
11,human1_lib1.final_cell_0012,acinar,indiv1
17,human1_lib1.final_cell_0018,acinar,indiv1
27,human1_lib1.final_cell_0028,acinar,indiv1
28,human1_lib1.final_cell_0029,acinar,indiv1
35,human1_lib1.final_cell_0036,acinar,indiv1
46,human1_lib1.final_cell_0047,acinar,indiv1
52,human1_lib1.final_cell_0053,acinar,indiv1
65,human1_lib1.final_cell_0066,acinar,indiv1
83,human1_lib1.final_cell_0084,acinar,indiv1
108,human1_lib1.final_cell_0109,acinar,indiv1
133,human1_lib1.final_cell_0134,acinar,indiv1
170,human1_lib1.final_cell_0171,acinar,indiv1
172,human1_lib1.final_cell_0173,acinar,indiv1
176,human1_lib1.final_cell_0177,acinar,indiv1
181,human1_lib1.final_cell_0182,acinar,indiv1
243,human1_lib1.final_cell_0244,acinar,indiv1
342,human1_lib1.final_cell_0343,acinar,indiv1
370,human1_lib1.final_cell_0371,acinar,indiv1
371,human1_lib1.final_cell_0372,acinar,indiv1
381,human1_lib1.final_cell_0382,acinar,indiv1
412,human1_lib1.final_cell_0413,acinar,indiv1
435,human1_lib1.final_cell_0436,acinar,indiv1
443,human1_lib1.final_cell_0444,acinar,indiv1
452,human1_lib1.final_cell_0453,acinar,indiv1
460,human1_lib1.final_cell_0461,acinar,indiv1
465,human1_lib1.final_cell_0466,acinar,indiv1
571,human1_lib2.final_cell_0004,acinar,indiv1
572,human1_lib2.final_cell_0005,acinar,indiv1
573,human1_lib2.final_cell_0006,acinar,indiv1
574,human1_lib2.final_cell_0007,acinar,indiv1
576,human1_lib2.final_cell_0009,acinar,indiv1
583,human1_lib2.final_cell_0016,acinar,indiv1
